Customer ID,recency,frequency,monetary
12346.0,165,11,372.86
12347.0,3,2,1323.32
12348.0,74,1,222.16
12349.0,43,3,2671.14
12351.0,11,1,300.93
12352.0,11,2,343.8
12353.0,44,1,317.76
12355.0,203,1,488.21000000000004
12356.0,16,3,3562.25
12357.0,24,2,12079.99
12358.0,11,3,2719.01
12359.0,61,6,2563.36
12360.0,15,5,1590.83
12361.0,98,3,321.35
12362.0,374,1,130.0
12366.0,269,1,500.24
12368.0,264,1,917.6999999999999
12369.0,49,3,1791.15
12370.0,260,3,774.62
12371.0,45,3,2179.42
12373.0,260,2,763.0500000000001
12374.0,57,3,2246.29
12376.0,25,2,503.15
12377.0,17,2,1798.2
12378.0,198,1,1407.7
12379.0,58,2,767.98
12380.0,101,7,6951.49
12385.0,15,1,1938.4
12386.0,2,1,258.9
12387.0,51,1,143.94
12388.0,81,2,1120.45
12389.0,38,3,1433.33
12391.0,100,5,2312.53
12392.0,227,1,234.75000000000003
12393.0,18,2,816.85
12395.0,7,4,2048.64
12396.0,310,1,931.43
12399.0,21,3,853.65
12400.0,50,1,205.25
12402.0,28,5,1031.3
12403.0,157,1,591.6600000000001
12404.0,318,1,63.24
12406.0,35,3,2975.06
12408.0,21,3,1452.22
12409.0,56,4,12346.619999999999
12410.0,138,1,320.38
12411.0,45,1,346.9
12412.0,38,3,1370.05
12413.0,38,1,241.35
12414.0,99,3,390.0
12415.0,11,7,19543.84
12416.0,292,1,202.56
12417.0,46,11,3167.81
12418.0,49,3,1352.62
12419.0,21,2,503.01
12421.0,51,2,291.56
12422.0,30,14,4428.24
12423.0,23,2,763.08
12424.0,58,2,1579.07
12425.0,84,1,964.21
12426.0,298,1,762.48
12427.0,7,1,303.5
12429.0,1,5,3735.51
12431.0,9,13,4370.52
12433.0,2,5,7205.39
12434.0,17,1,297.29
12435.0,32,4,6096.04
12437.0,31,21,7731.99
12439.0,318,2,1158.18
12440.0,98,2,859.2
12441.0,2,1,173.55
12443.0,368,1,485.31
12445.0,56,1,301.58000000000004
12449.0,46,2,768.6
12450.0,35,3,490.32
12451.0,99,3,3634.36
12454.0,31,4,13151.44
12455.0,81,4,3413.09
12457.0,71,1,632.68
12458.0,63,2,830.09
12459.0,241,1,454.36
12460.0,92,1,326.65
12466.0,318,1,56.73
12467.0,59,1,132.8
12468.0,162,3,2941.2
12469.0,158,2,3070.54
12470.0,325,1,211.95
12471.0,10,49,20139.739999999998
12472.0,5,13,11308.48
12474.0,14,13,5048.66
12475.0,45,1,426.26
12476.0,32,12,7298.99
12477.0,35,3,7056.63
12480.0,35,3,2183.2200000000003
12481.0,1,6,6765.07
12482.0,212,29,23691.4
12483.0,14,11,2635.6
12484.0,119,6,1828.43
12485.0,165,1,708.1
12486.0,67,1,1037.28
12487.0,366,1,285.29999999999995
12490.0,14,11,4405.71
12492.0,39,1,452.0
12494.0,1,3,626.77
12495.0,276,1,357.4
12496.0,256,2,54.09
12497.0,36,2,5205.400000000001
12499.0,196,1,393.72
12500.0,71,8,1697.39
12503.0,220,1,1126.0
12504.0,53,2,297.0
12505.0,44,1,955.2
12507.0,220,1,539.25
12510.0,95,7,4195.45
12511.0,64,1,3084.02
12514.0,277,1,580.08
12516.0,66,2,1336.56
12519.0,112,1,385.7
12523.0,10,12,2582.38
12524.0,24,9,6640.39
12525.0,134,3,973.73
12527.0,130,2,386.8
12529.0,164,1,316.48
12530.0,51,5,2096.98
12531.0,322,1,1807.98
12533.0,263,2,1367.89
12537.0,44,1,732.94
12538.0,14,1,276.5
12539.0,86,3,5646.400000000001
12540.0,14,16,8854.25
12542.0,120,2,481.88
12543.0,84,1,980.25
12547.0,136,1,175.78
12549.0,211,6,1575.68
12553.0,21,2,916.47
12554.0,84,1,468.5
12555.0,318,1,129.23
12557.0,7,4,6725.18
12562.0,21,2,1185.18
12563.0,44,1,249.24
12567.0,3,7,4308.58
12568.0,280,1,70.0
12570.0,318,1,77.52
12573.0,17,4,556.87
12575.0,93,2,622.8199999999999
12576.0,28,3,826.89
12577.0,17,5,995.9499999999999
12578.0,21,2,1847.94
12580.0,212,1,637.2
12582.0,58,2,1469.04
12583.0,9,13,7166.0599999999995
12586.0,10,3,1865.73
12588.0,35,3,743.88
12589.0,57,6,4048.98
12591.0,26,2,899.3
12592.0,155,3,2145.06
12594.0,14,5,1751.89
12595.0,140,1,299.02
12598.0,99,3,1511.01
12599.0,17,6,1264.14
12600.0,7,12,2444.88
12601.0,40,1,104.19999999999999
12605.0,12,4,1232.95
12606.0,318,1,21.0
12608.0,40,1,415.79
12609.0,10,6,2309.01
12613.0,24,5,3490.69
12615.0,49,4,3449.79
12616.0,24,1,417.8
12619.0,196,1,140.14
12621.0,1,16,11086.14
12623.0,52,6,3442.7400000000002
12625.0,145,2,2481.06
12629.0,21,2,1558.22
12631.0,92,5,2841.07
12632.0,156,2,804.88
12633.0,18,3,3514.18
12634.0,171,2,490.0
12635.0,28,2,1241.23
12636.0,374,1,141.0
12637.0,14,4,2318.41
12638.0,275,1,249.8
12639.0,70,2,826.27
12643.0,21,6,5005.78
12644.0,66,3,1440.58
12645.0,45,4,1764.12
12647.0,3,27,14201.53
12648.0,73,3,793.95
12649.0,18,5,1671.1399999999999
12651.0,14,3,263.75
12652.0,70,1,97.05000000000001
12653.0,162,1,1950.98
12655.0,59,1,261.35
12656.0,61,3,2356.66
12661.0,72,1,162.0
12662.0,9,10,3138.2400000000002
12663.0,260,2,239.4
12664.0,150,2,1188.16
12665.0,53,2,250.6
12666.0,30,1,1248.42
12668.0,14,6,7637.53
12670.0,21,2,764.24
12671.0,242,1,2622.481
12672.0,231,1,211.15
12673.0,37,1,619.5
12675.0,189,2,958.5
12676.0,44,5,1511.7
12677.0,191,2,395.1
